tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ZMP_th(deg) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.30 0 24 0 0 0 0 0 0 0 -0.05 0 9.65548e-07 0.000316496 0.0352757 -0.055297 0.12813 0.0115288 -4.83656e-06 -0.00143674 -0.166427 0.27445 -0.650158 0.0159086
0.30 0 27 0 0 0 0 0 0 0 -0.05 0 9.64884e-07 0.000316279 0.0352514 -0.0552649 0.128049 0.0115079 -4.83618e-06 -0.00143662 -0.166414 0.274442 -0.650125 0.0159426
0.30 0 30 0 0 0 0 0 0 0 -0.05 0 9.62604e-07 0.0003159 0.0352416 -0.0556572 0.129976 0.00928785 -4.83489e-06 -0.00143591 -0.166376 0.274805 -0.651477 0.0178361
0.30 0 33 0 0 0 0 0 0 0 -0.05 0 9.62671e-07 0.000315888 0.0352421 -0.0556624 0.130001 0.0092574 -4.83494e-06 -0.00143592 -0.166375 0.274791 -0.651398 0.0177529
0.30 0 36 0 0 0 0 0 0 0 -0.05 0 9.62741e-07 0.000315876 0.0352424 -0.0556668 0.130021 0.00923135 -4.83499e-06 -0.00143593 -0.166374 0.274777 -0.651318 0.0176683
0.30 0 39 0 0 0 0 0 0 0 -0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 -4.8335e-06 -0.00143615 -0.166368 0.274714 -0.651063 0.0173039
0.30 0 42 0 0 0 0 0 0 0 -0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 -4.8335e-06 -0.00143615 -0.166368 0.274714 -0.651063 0.0173039
0.30 0 45 0 0 0 0 0 0 0 -0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 -4.8335e-06 -0.00143615 -0.166368 0.274714 -0.651063 0.0173039
0.30 0 48 0 0 0 0 0 0 0 -0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 -4.8335e-06 -0.00143615 -0.166368 0.274714 -0.651063 0.0173039
0.30 0 51 0 0 0 0 0 0 0 -0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 -4.8335e-06 -0.00143615 -0.166368 0.274714 -0.651063 0.0173039
0.30 0 54 0 0 0 0 0 0 0 -0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 -4.8335e-06 -0.00143615 -0.166368 0.274714 -0.651063 0.0173039
0.30 0 57 0 0 0 0 0 0 0 -0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 -4.8335e-06 -0.00143615 -0.166368 0.274714 -0.651063 0.0173039
0.30 0 60 0 0 0 0 0 0 0 -0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 -4.8335e-06 -0.00143615 -0.166368 0.274714 -0.651063 0.0173039
 
0.30 0 -60 0 0 0 0 1 0 0 0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 4.8335e-06 0.00143615 0.166368 -0.274714 0.651063 -0.0173039
0.30 0 -57 0 0 0 0 1 0 0 0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 4.8335e-06 0.00143615 0.166368 -0.274714 0.651063 -0.0173039
0.30 0 -54 0 0 0 0 1 0 0 0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 4.8335e-06 0.00143615 0.166368 -0.274714 0.651063 -0.0173039
0.30 0 -51 0 0 0 0 1 0 0 0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 4.8335e-06 0.00143615 0.166368 -0.274714 0.651063 -0.0173039
0.30 0 -48 0 0 0 0 1 0 0 0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 4.8335e-06 0.00143615 0.166368 -0.274714 0.651063 -0.0173039
0.30 0 -45 0 0 0 0 1 0 0 0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 4.8335e-06 0.00143615 0.166368 -0.274714 0.651063 -0.0173039
0.30 0 -42 0 0 0 0 1 0 0 0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 4.8335e-06 0.00143615 0.166368 -0.274714 0.651063 -0.0173039
0.30 0 -39 0 0 0 0 1 0 0 0.05 0 9.61663e-07 0.00031604 0.0352379 -0.0556214 0.129835 0.00949606 4.8335e-06 0.00143615 0.166368 -0.274714 0.651063 -0.0173039
0.30 0 -36 0 0 0 0 1 0 0 0.05 0 9.62741e-07 0.000315876 0.0352424 -0.0556668 0.130021 0.00923135 4.83499e-06 0.00143593 0.166374 -0.274777 0.651318 -0.0176683
0.30 0 -33 0 0 0 0 1 0 0 0.05 0 9.62671e-07 0.000315888 0.0352421 -0.0556624 0.130001 0.0092574 4.83494e-06 0.00143592 0.166375 -0.274791 0.651398 -0.0177529
0.30 0 -30 0 0 0 0 1 0 0 0.05 0 9.62604e-07 0.0003159 0.0352416 -0.0556572 0.129976 0.00928785 4.83489e-06 0.00143591 0.166376 -0.274805 0.651477 -0.0178361
0.30 0 -27 0 0 0 0 1 0 0 0.05 0 9.64884e-07 0.000316279 0.0352514 -0.0552649 0.128049 0.0115079 4.83618e-06 0.00143662 0.166414 -0.274442 0.650125 -0.0159426
0.30 0 -24 0 0 0 0 1 0 0 0.05 0 9.65548e-07 0.000316496 0.0352757 -0.055297 0.12813 0.0115288 4.83656e-06 0.00143674 0.166427 -0.27445 0.650158 -0.0159086
0.30 0 -21 0 0 0 0 1 0 0 0.05 0 9.66191e-07 0.000316707 0.0352991 -0.0553287 0.128209 0.011548 4.83697e-06 0.00143688 0.166442 -0.27446 0.650196 -0.0158735
0.30 0 -18 0 0 0 0 1 0 0 0.05 0 9.50826e-07 0.00031168 0.0347391 -0.0547037 0.126489 0.0107976 4.82695e-06 0.00143359 0.166076 -0.273774 0.648726 -0.0157437
0.30 0 -15 0 0 0 0 1 0 0 0.05 0 9.49324e-07 0.000311188 0.0346842 -0.0546121 0.126283 0.0107921 4.83381e-06 0.00143584 0.166326 -0.274159 0.649626 -0.0156432
0.30 0 -12 0 0 0 0 1 0 0 0.05 0 9.47464e-07 0.000310578 0.0346163 -0.0545005 0.12603 0.0107814 4.84059e-06 0.00143806 0.166574 -0.274538 0.650514 -0.0155432
0.30 0 -9 0 0 0 0 1 0 0 0.05 0 8.47235e-07 0.000277736 0.0309558 -0.0489545 0.112973 0.00916047 4.9799e-06 0.00148373 0.171664 -0.282575 0.669074 -0.0140098
0.30 0 -6 0 0 0 0 1 0 0 0.05 0 8.79739e-07 0.000288392 0.0321435 -0.0508415 0.117318 0.00949308 5.02512e-06 0.00149855 0.173316 -0.285188 0.675104 -0.0135214
0.30 0 -3 0 0 0 0 1 0 0 0.05 0 9.09832e-07 0.000298258 0.033243 -0.052589 0.121342 0.00979966 5.07198e-06 0.00151391 0.175028 -0.287896 0.681354 -0.0130162
0.30 0 0 0 0 0 0 1 0 0 0.05 0 1.06548e-06 0.000349742 0.0389887 -0.0613211 0.142684 0.0115976 5.01548e-06 0.00149621 0.173068 -0.28527 0.676146 -0.0158144
0.30 0 3 0 0 0 0 1 0 0 0.05 0 9.62461e-07 0.000315512 0.0351661 -0.0556473 0.128382 0.0103315 5.1701e-06 0.00154608 0.178613 -0.293569 0.694441 -0.0119612
0.30 0 6 0 0 0 0 1 0 0 0.05 0 9.84853e-07 0.000322853 0.0359843 -0.0569497 0.131378 0.0105553 5.22109e-06 0.00156279 0.180476 -0.296517 0.701243 -0.0114142
0.30 0 9 0 0 0 0 1 0 0 0.05 0 1.00455e-06 0.000329309 0.0367039 -0.058096 0.134014 0.0107501 5.27319e-06 0.00157987 0.18238 -0.29953 0.708193 -0.0108563
0.30 0 12 0 0 0 0 1 0 0 0.05 0 1.1343e-06 0.00037183 0.0414432 -0.0653577 0.15102 0.0126692 5.18276e-06 0.00155022 0.179075 -0.294216 0.696023 -0.0116372
0.30 0 15 0 0 0 0 1 0 0 0.05 0 1.12957e-06 0.000370279 0.0412703 -0.065086 0.150392 0.0126142 5.18796e-06 0.00155193 0.179265 -0.294503 0.6967 -0.011553
0.30 0 18 0 0 0 0 1 0 0 0.05 0 1.12457e-06 0.000368641 0.0410877 -0.0647997 0.149728 0.0125549 5.1929e-06 0.00155354 0.179445 -0.294776 0.697342 -0.0114718
0.30 0 21 0 0 0 0 1 0 0 0.05 0 1.13155e-06 0.000370919 0.0413414 -0.0649373 0.150326 0.0132219 5.2115e-06 0.00155964 0.180125 -0.295754 0.699702 -0.0110575
0.30 0 24 0 0 0 0 1 0 0 0.05 0 1.13171e-06 0.000370973 0.0413474 -0.0649526 0.150355 0.0132107 5.21225e-06 0.00155988 0.180152 -0.295784 0.699784 -0.0110192
0.30 0 27 0 0 0 0 1 0 0 0.05 0 1.13184e-06 0.000371014 0.041352 -0.0649663 0.15038 0.0131975 5.213e-06 0.00156013 0.180179 -0.295814 0.699868 -0.0109814
0.30 0 30 0 0 0 0 1 0 0 0.05 0 1.13155e-06 0.000371392 0.0413751 -0.0648742 0.150259 0.013598 5.21023e-06 0.00155942 0.180149 -0.29635 0.702263 -0.0139254
0.30 0 33 0 0 0 0 1 0 0 0.05 0 1.13157e-06 0.000371405 0.0413743 -0.0648595 0.150177 0.0136859 5.21015e-06 0.00155943 0.180149 -0.296352 0.702277 -0.013936
0.30 0 36 0 0 0 0 1 0 0 0.05 0 1.13159e-06 0.000371417 0.0413734 -0.0648448 0.150095 0.0137742 5.21007e-06 0.00155944 0.180149 -0.296353 0.702287 -0.013942
0.30 0 39 0 0 0 0 1 0 0 0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 5.20858e-06 0.00155966 0.180143 -0.29629 0.702032 -0.0135777
0.30 0 42 0 0 0 0 1 0 0 0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 5.20858e-06 0.00155966 0.180143 -0.29629 0.702032 -0.0135777
0.30 0 45 0 0 0 0 1 0 0 0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 5.20858e-06 0.00155966 0.180143 -0.29629 0.702032 -0.0135777
0.30 0 48 0 0 0 0 1 0 0 0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 5.20858e-06 0.00155966 0.180143 -0.29629 0.702032 -0.0135777
0.30 0 51 0 0 0 0 1 0 0 0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 5.20858e-06 0.00155966 0.180143 -0.29629 0.702032 -0.0135777
0.30 0 54 0 0 0 0 1 0 0 0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 5.20858e-06 0.00155966 0.180143 -0.29629 0.702032 -0.0135777
0.30 0 57 0 0 0 0 1 0 0 0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 5.20858e-06 0.00155966 0.180143 -0.29629 0.702032 -0.0135777
0.30 0 60 0 0 0 0 1 0 0 0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 5.20858e-06 0.00155966 0.180143 -0.29629 0.702032 -0.0135777
